video_id,RallyId,StartTimestamp,RallyEndTimestamp,ShotTypes,Player1Won
8,8_12,66.52,84.84,"Drop, Drop, Drop, Lift, Lift, Drop, Smash, Drop, Drop, Drop, Clear, Drop, Lift, Lift, Drop, Drop, Drop, Drop, Drop, Lift, Clear, Drop, Lift, Drop, Drop, Drop, Lift, Drop, Lift, Smash, Lift, Drop, Lift, Drop, Lift, Clear, Smash, Miss",1
8,8_13,97.6,180.12,"Serve, Lift, Drive, Drop, Drop, Drop, Lift, Smash, Drop, Drop, Drop, Drop, Lift, Smash, Drop, Lift, Clear, Smash, Drop, Lift, Lift, Drop, Smash, Drop, Smash, Serve, Lift, Drop, Drop, Clear, Drop, Lift, Lift, Drop, Lift, Lift, Drop, Lift, Net",0
8,8_14,185.62,189.84,"Drop, Drop, Fall",1
8,8_15,196.14,250.46,"Lift, Drop, Lift, Smash, Drop, Drop, Lift, Drop, Lift, Drop, Clear, Drop, Drop, Lift, Drop, Lift, Drop, Lift, Drop, Lift, Lift, Smash, Smash, Drop, Fall",1
8,8_16,274.9,294.22,"Drop, Drive, Drop, Drive, Lift, Drop, Lift, Drop, Lift, Drop, Lift, Net",1
8,8_17,307.18,325.52,"Lift, Drive, Drop, Drop, Drop, Clear, Drop, Lift, Lift, Fall",1
8,8_18,340.64,348.38,"Lift, Drop, Drive, Lift, Fall",1
8,8_19,360.6,369.82,"Drop, Clear, Drop, Drop, Clear, Fall",1
8,8_20,373.76,391.28,"Serve, Drive, Lift, Drop, Drop, Clear, Drop, Clear, Lift, Net",1
10,10_35,691.72,692.5,"Lift, Out",
26,26_4,115.74,117.84,"Long Defence, Fall",1
26,26_5,128.08,135,"Lift, Short Defence, Drop, Lift, Fall",1
26,26_6,147.9,152.84,"Backhand Serve, Net Shot, Lift, Fall",1
26,26_7,160.24,167.84,"Drive, Drive, Lift, Long Defence, Fall",1
26,26_8,177.26,222.36,"Backhand Serve, Lift, Short Defence, Smash, Smash, Lift, Drive, Short Defence, Smash, Net Shot, Smash, Short Defence, Short Defence, Drive, Lift, Fall",1
27,27_1,12.1,14.32,"Clear, Net",1
27,27_2,22.5,33.94,"Clear, Drive, Drive, Short Defence, Clear, Lift, Fall",1
27,27_3,66.12,74.06,"Lift, Drop, Drop, Clear, Fall",1
27,27_4,87.34,88.98,"Clear, Fall",1
27,27_5,94.94,117.02,"Long Defence, Long Defence, Drive, Net Shot, Lift, Lift, Lift, Smash, Out",0
27,27_6,121.52,152.84,"Lift, Lift, Smash, Net Shot, Smash, Net Kill, Net Kill, Serve, Smash, Lift, Serve, Clear, Drive, Miss",1
27,27_7,159.18,205,"Long Defence, Lift, Drive, Net Shot, Smash, Net Shot, Clear, Net Shot, Lift, Short Defence, Lift, Long Defence, Smash, Fall",1
27,27_8,216.6,231.08,"Lift, Drive, Lift, Lift, Drive, Lift, Drive, Clear, Fall",1
27,27_9,252.12,295.34,"Net Shot, Lift, Long Defence, Lift, Lift, Lift, Lift, Long Defence, Smash, Net Shot, Clear, Net Shot, Smash, Lift, Net",1
27,27_10,301.76,355.92,"Lift, Smash, Net Shot, Smash, Long Defence, Smash, Net Kill, Lift, Drop, Drop, Clear, Short Defence, Drive, Fall",0
27,27_11,362.02,375.78,"Smash, Drive, Long Defence, Clear, Fall",0
27,27_12,381.72,460.22,"Lift, Drive, Drive, Drive, Net Shot, Long Defence, Long Defence, Smash, Net Shot, Smash, Drive, Lift, Smash, Net Shot, Smash, Net Shot, Net Kill, Miss",0
29,29_1,12.72,100.06,"Lift, Clear, Lift, Drive, Lift, Smash, Drive, Drive, Drive, Lift, Drive, Lift, Drop, Clear, Lift, Smash, Smash, Smash, Smash, Lift, Drive, Drive, Lift, Drop, Smash, Lift, Drive, Smash, Lift, Clear, Smash, Lift, Clear, Smash, Lift, Smash, Fall",0
29,29_2,111.92,126.86,"Lift, Drive, Drive, Drop, Clear, Drive, Drop, Smash, Drive, Net",0
29,29_3,132.08,145.96,"Smash, Lift, Clear, Fall",0
29,29_4,151.1,175.26,"Serve, Drop, Lift, Smash, Lift, Clear, Clear, Drive, Clear, Drive, Net",0
85,85_1,10.64,30.22,"Serve, Lift, Lift, Clear, Serve, Drive, Net Kill, Clear, Lift, Fall",1
85,85_2,36.94,52.18,"Net Shot, Smash, Net Shot, Lift, Net Shot, Drop, Lift, Lift, Net",1
85,85_3,54.64,54.64,Out,1
85,85_4,59.76,68.2,"Lift, Serve, Lift, Fall",1
85,85_5,74.04,90.08,"Lift, Net Shot, Smash, Lift, Long Defence, Long Defence, Net Shot, Clear, Long Defence, Net",1
85,85_6,93.98,146.26,"Net Shot, Clear, Short Defence, Clear, Net Shot, Smash, Net Shot, Clear, Serve, Lift, Drive, Net Shot, Smash, Net Kill, Lift, Drive, Drive, Lift, Net Kill, Lift, Long Defence, Serve, Lift, Drive, Smash, Drive, Net",1
111,111_1,1.86,25.88,"Serve, Smash, Drop, Drive, Clear, Clear, Drive, Lift, Drop, Drive, Drive, Lift, Drop, Net",0
111,111_2,30.62,49.56,"Serve, Drive, Lift, Drop, Drop, Drive, Drive, Clear, Serve, Net",0
111,111_3,53.18,80.24,"Serve, Clear, Drop, Clear, Serve, Smash, Clear, Lift, Drop, Drop, Lift, Lift, Miss",1
111,111_4,89.28,97.3,"Clear, Drop, Clear, Drive, Drop, Miss",
111,111_5,99.84,107.12,"Lift, Clear, Drive, Fall",0
111,111_6,117.24,122.64,"Drop, Drop, Net",0
111,111_7,128.32,148.82,"Serve, Clear, Drop, Lift, Clear, Lift, Lift, Smash, Lift, Drive, Lift, Fall",0
111,111_8,157.66,202.68,"Clear, Smash, Clear, Smash, Serve, Lift, Drop, Drop, Drop, Clear, Drop, Serve, Drop, Lift, Smash, Serve, Clear, Drop, Net",0
111,111_9,213,220.66,"Drive, Drop, Lift, Smash, Out",0
111,111_10,225,253.3,"Drop, Drop, Drop, Serve, Lift, Drop, Clear, Drop, Lift, Lift, Drop, Clear, Fall",0
