RallyId,ShotTypes,Player1Won,ShotSeqJson,EncodedSequenceJson,sequence_length,dataset_split
6_2,"Serve, Lift, Drop, Lift, Drop, Net",0.0,"[""Serve"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Net""]","[15, 8, 6, 8, 6, 11]",6,train
6_3,"Drop, Smash, Lift, Cross Drop, Smash, Lift, Drop, Drop, Lift, Drop, Serve, Miss",1.0,"[""Drop"", ""Smash"", ""Lift"", ""Cross Drop"", ""Smash"", ""Lift"", ""Drop"", ""Drop"", ""Lift"", ""Drop"", ""Serve"", ""Miss""]","[6, 17, 8, 4, 17, 8, 6, 6, 8, 6, 15, 10]",12,train
6_4,"Drop, Smash, Drop, Lift, Drop, Lift, Smash, Lift, Drop, Drop, Smash, Drop, Clear, Drop, Smash, Drop, Smash, Drop, Smash, Drop, Clear, Drop, Lift, Drop, Lift, Cross Drop, Lift, Drop, Smash, Lift, Drop, Smash, Drop, Lift, Drop, Clear, Drop, Smash, Drop, Drop, Drop, Lift, Cross Drop, Lift, Smash, Smash, Drive, Drop, Lift, Drop, Smash, Cross Drop, Smash, Cross Drop, Smash, Fall",0.0,"[""Drop"", ""Smash"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Smash"", ""Lift"", ""Drop"", ""Drop"", ""Smash"", ""Drop"", ""Clear"", ""Drop"", ""Smash"", ""Drop"", ""Smash"", ""Drop"", ""Smash"", ""Drop"", ""Clear"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Cross Drop"", ""Lift"", ""Drop"", ""Smash"", ""Lift"", ""Drop"", ""Smash"", ""Drop"", ""Lift"", ""Drop"", ""Clear"", ""Drop"", ""Smash"", ""Drop"", ""Drop"", ""Drop"", ""Lift"", ""Cross Drop"", ""Lift"", ""Smash"", ""Smash"", ""Drive"", ""Drop"", ""Lift"", ""Drop"", ""Smash"", ""Cross Drop"", ""Smash"", ""Cross Drop"", ""Smash"", ""Fall""]","[6, 17, 6, 8, 6, 8, 17, 8, 6, 6, 17, 6, 3, 6, 17, 6, 17, 6, 17, 6, 3, 6, 8, 6, 8, 4, 8, 6, 17, 8, 6, 17, 6, 8, 6, 3, 6, 17, 6, 6, 6, 8, 4, 8, 17, 17, 5, 6, 8, 6, 17, 4, 17, 4, 17, 7]",56,train
6_5,"Smash, Drop, Lift, Lift, Drop, Lift, Drop, Lift, Drop, Smash, Drop, Clear, Fall",1.0,"[""Smash"", ""Drop"", ""Lift"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Smash"", ""Drop"", ""Clear"", ""Fall""]","[17, 6, 8, 8, 6, 8, 6, 8, 6, 17, 6, 3, 7]",13,validation
8_5,"Drop, Drop, Drive, Drop, Lift, Drop, Drive, Drop, Clear, Lift, Smash, Lift, Fall",1.0,"[""Drop"", ""Drop"", ""Drive"", ""Drop"", ""Lift"", ""Drop"", ""Drive"", ""Drop"", ""Clear"", ""Lift"", ""Smash"", ""Lift"", ""Fall""]","[6, 6, 5, 6, 8, 6, 5, 6, 3, 8, 17, 8, 7]",13,train
8_10,"Drop, Drive, Lift, Clear, Lift, Smash, Smash, Drop, Net",0.0,"[""Drop"", ""Drive"", ""Lift"", ""Clear"", ""Lift"", ""Smash"", ""Smash"", ""Drop"", ""Net""]","[6, 5, 8, 3, 8, 17, 17, 6, 11]",9,test
8_12,"Drop, Drop, Drop, Lift, Lift, Drop, Smash, Drop, Drop, Drop, Clear, Drop, Lift, Lift, Drop, Drop, Drop, Drop, Drop, Lift, Clear, Drop, Lift, Drop, Drop, Drop, Lift, Drop, Lift, Smash, Lift, Drop, Lift, Drop, Lift, Clear, Smash, Miss",1.0,"[""Drop"", ""Drop"", ""Drop"", ""Lift"", ""Lift"", ""Drop"", ""Smash"", ""Drop"", ""Drop"", ""Drop"", ""Clear"", ""Drop"", ""Lift"", ""Lift"", ""Drop"", ""Drop"", ""Drop"", ""Drop"", ""Drop"", ""Lift"", ""Clear"", ""Drop"", ""Lift"", ""Drop"", ""Drop"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Smash"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Clear"", ""Smash"", ""Miss""]","[6, 6, 6, 8, 8, 6, 17, 6, 6, 6, 3, 6, 8, 8, 6, 6, 6, 6, 6, 8, 3, 6, 8, 6, 6, 6, 8, 6, 8, 17, 8, 6, 8, 6, 8, 3, 17, 10]",38,train
8_13,"Serve, Lift, Drive, Drop, Drop, Drop, Lift, Smash, Drop, Drop, Drop, Drop, Lift, Smash, Drop, Lift, Clear, Smash, Drop, Lift, Lift, Drop, Smash, Drop, Smash, Serve, Lift, Drop, Drop, Clear, Drop, Lift, Lift, Drop, Lift, Lift, Drop, Lift, Net",0.0,"[""Serve"", ""Lift"", ""Drive"", ""Drop"", ""Drop"", ""Drop"", ""Lift"", ""Smash"", ""Drop"", ""Drop"", ""Drop"", ""Drop"", ""Lift"", ""Smash"", ""Drop"", ""Lift"", ""Clear"", ""Smash"", ""Drop"", ""Lift"", ""Lift"", ""Drop"", ""Smash"", ""Drop"", ""Smash"", ""Serve"", ""Lift"", ""Drop"", ""Drop"", ""Clear"", ""Drop"", ""Lift"", ""Lift"", ""Drop"", ""Lift"", ""Lift"", ""Drop"", ""Lift"", ""Net""]","[15, 8, 5, 6, 6, 6, 8, 17, 6, 6, 6, 6, 8, 17, 6, 8, 3, 17, 6, 8, 8, 6, 17, 6, 17, 15, 8, 6, 6, 3, 6, 8, 8, 6, 8, 8, 6, 8, 11]",39,train
8_14,"Drop, Drop, Fall",1.0,"[""Drop"", ""Drop"", ""Fall""]","[6, 6, 7]",3,validation
8_15,"Lift, Drop, Lift, Smash, Drop, Drop, Lift, Drop, Lift, Drop, Clear, Drop, Drop, Lift, Drop, Lift, Drop, Lift, Drop, Lift, Lift, Smash, Smash, Drop, Fall",1.0,"[""Lift"", ""Drop"", ""Lift"", ""Smash"", ""Drop"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Clear"", ""Drop"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Lift"", ""Smash"", ""Smash"", ""Drop"", ""Fall""]","[8, 6, 8, 17, 6, 6, 8, 6, 8, 6, 3, 6, 6, 8, 6, 8, 6, 8, 6, 8, 8, 17, 17, 6, 7]",25,train
8_16,"Drop, Drive, Drop, Drive, Lift, Drop, Lift, Drop, Lift, Drop, Lift, Net",1.0,"[""Drop"", ""Drive"", ""Drop"", ""Drive"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Drop"", ""Lift"", ""Net""]","[6, 5, 6, 5, 8, 6, 8, 6, 8, 6, 8, 11]",12,validation
8_17,"Lift, Drive, Drop, Drop, Drop, Clear, Drop, Lift, Lift, Fall",1.0,"[""Lift"", ""Drive"", ""Drop"", ""Drop"", ""Drop"", ""Clear"", ""Drop"", ""Lift"", ""Lift"", ""Fall""]","[8, 5, 6, 6, 6, 3, 6, 8, 8, 7]",10,test
8_18,"Lift, Drop, Drive, Lift, Fall",1.0,"[""Lift"", ""Drop"", ""Drive"", ""Lift"", ""Fall""]","[8, 6, 5, 8, 7]",5,train
8_19,"Drop, Clear, Drop, Drop, Clear, Fall",1.0,"[""Drop"", ""Clear"", ""Drop"", ""Drop"", ""Clear"", ""Fall""]","[6, 3, 6, 6, 3, 7]",6,train
8_20,"Serve, Drive, Lift, Drop, Drop, Clear, Drop, Clear, Lift, Net",1.0,"[""Serve"", ""Drive"", ""Lift"", ""Drop"", ""Drop"", ""Clear"", ""Drop"", ""Clear"", ""Lift"", ""Net""]","[15, 5, 8, 6, 6, 3, 6, 3, 8, 11]",10,validation
26_4,"Long Defence, Fall",1.0,"[""Long Defence"", ""Fall""]","[9, 7]",2,train
26_5,"Lift, Short Defence, Drop, Lift, Fall",1.0,"[""Lift"", ""Short Defence"", ""Drop"", ""Lift"", ""Fall""]","[8, 16, 6, 8, 7]",5,test
26_6,"Backhand Serve, Net Shot, Lift, Fall",1.0,"[""Backhand Serve"", ""Net Shot"", ""Lift"", ""Fall""]","[2, 13, 8, 7]",4,test
26_7,"Drive, Drive, Lift, Long Defence, Fall",1.0,"[""Drive"", ""Drive"", ""Lift"", ""Long Defence"", ""Fall""]","[5, 5, 8, 9, 7]",5,test
26_8,"Backhand Serve, Lift, Short Defence, Smash, Smash, Lift, Drive, Short Defence, Smash, Net Shot, Smash, Short Defence, Short Defence, Drive, Lift, Fall",1.0,"[""Backhand Serve"", ""Lift"", ""Short Defence"", ""Smash"", ""Smash"", ""Lift"", ""Drive"", ""Short Defence"", ""Smash"", ""Net Shot"", ""Smash"", ""Short Defence"", ""Short Defence"", ""Drive"", ""Lift"", ""Fall""]","[2, 8, 16, 17, 17, 8, 5, 16, 17, 13, 17, 16, 16, 5, 8, 7]",16,train
27_1,"Clear, Net",1.0,"[""Clear"", ""Net""]","[3, 11]",2,train
27_2,"Clear, Drive, Drive, Short Defence, Clear, Lift, Fall",1.0,"[""Clear"", ""Drive"", ""Drive"", ""Short Defence"", ""Clear"", ""Lift"", ""Fall""]","[3, 5, 5, 16, 3, 8, 7]",7,train
27_3,"Lift, Drop, Drop, Clear, Fall",1.0,"[""Lift"", ""Drop"", ""Drop"", ""Clear"", ""Fall""]","[8, 6, 6, 3, 7]",5,train
27_4,"Clear, Fall",1.0,"[""Clear"", ""Fall""]","[3, 7]",2,train
27_5,"Long Defence, Long Defence, Drive, Net Shot, Lift, Lift, Lift, Smash, Out",0.0,"[""Long Defence"", ""Long Defence"", ""Drive"", ""Net Shot"", ""Lift"", ""Lift"", ""Lift"", ""Smash"", ""Out""]","[9, 9, 5, 13, 8, 8, 8, 17, 14]",9,validation
27_6,"Lift, Lift, Smash, Net Shot, Smash, Net Kill, Net Kill, Serve, Smash, Lift, Serve, Clear, Drive, Miss",1.0,"[""Lift"", ""Lift"", ""Smash"", ""Net Shot"", ""Smash"", ""Net Kill"", ""Net Kill"", ""Serve"", ""Smash"", ""Lift"", ""Serve"", ""Clear"", ""Drive"", ""Miss""]","[8, 8, 17, 13, 17, 12, 12, 15, 17, 8, 15, 3, 5, 10]",14,train
27_7,"Long Defence, Lift, Drive, Net Shot, Smash, Net Shot, Clear, Net Shot, Lift, Short Defence, Lift, Long Defence, Smash, Fall",1.0,"[""Long Defence"", ""Lift"", ""Drive"", ""Net Shot"", ""Smash"", ""Net Shot"", ""Clear"", ""Net Shot"", ""Lift"", ""Short Defence"", ""Lift"", ""Long Defence"", ""Smash"", ""Fall""]","[9, 8, 5, 13, 17, 13, 3, 13, 8, 16, 8, 9, 17, 7]",14,train
27_8,"Lift, Drive, Lift, Lift, Drive, Lift, Drive, Clear, Fall",1.0,"[""Lift"", ""Drive"", ""Lift"", ""Lift"", ""Drive"", ""Lift"", ""Drive"", ""Clear"", ""Fall""]","[8, 5, 8, 8, 5, 8, 5, 3, 7]",9,test
27_9,"Net Shot, Lift, Long Defence, Lift, Lift, Lift, Lift, Long Defence, Smash, Net Shot, Clear, Net Shot, Smash, Lift, Net",1.0,"[""Net Shot"", ""Lift"", ""Long Defence"", ""Lift"", ""Lift"", ""Lift"", ""Lift"", ""Long Defence"", ""Smash"", ""Net Shot"", ""Clear"", ""Net Shot"", ""Smash"", ""Lift"", ""Net""]","[13, 8, 9, 8, 8, 8, 8, 9, 17, 13, 3, 13, 17, 8, 11]",15,test
27_10,"Lift, Smash, Net Shot, Smash, Long Defence, Smash, Net Kill, Lift, Drop, Drop, Clear, Short Defence, Drive, Fall",0.0,"[""Lift"", ""Smash"", ""Net Shot"", ""Smash"", ""Long Defence"", ""Smash"", ""Net Kill"", ""Lift"", ""Drop"", ""Drop"", ""Clear"", ""Short Defence"", ""Drive"", ""Fall""]","[8, 17, 13, 17, 9, 17, 12, 8, 6, 6, 3, 16, 5, 7]",14,train
27_11,"Smash, Drive, Long Defence, Clear, Fall",0.0,"[""Smash"", ""Drive"", ""Long Defence"", ""Clear"", ""Fall""]","[17, 5, 9, 3, 7]",5,test
27_12,"Lift, Drive, Drive, Drive, Net Shot, Long Defence, Long Defence, Smash, Net Shot, Smash, Drive, Lift, Smash, Net Shot, Smash, Net Shot, Net Kill, Miss",0.0,"[""Lift"", ""Drive"", ""Drive"", ""Drive"", ""Net Shot"", ""Long Defence"", ""Long Defence"", ""Smash"", ""Net Shot"", ""Smash"", ""Drive"", ""Lift"", ""Smash"", ""Net Shot"", ""Smash"", ""Net Shot"", ""Net Kill"", ""Miss""]","[8, 5, 5, 5, 13, 9, 9, 17, 13, 17, 5, 8, 17, 13, 17, 13, 12, 10]",18,train
29_1,"Lift, Clear, Lift, Drive, Lift, Smash, Drive, Drive, Drive, Lift, Drive, Lift, Drop, Clear, Lift, Smash, Smash, Smash, Smash, Lift, Drive, Drive, Lift, Drop, Smash, Lift, Drive, Smash, Lift, Clear, Smash, Lift, Clear, Smash, Lift, Smash, Fall",0.0,"[""Lift"", ""Clear"", ""Lift"", ""Drive"", ""Lift"", ""Smash"", ""Drive"", ""Drive"", ""Drive"", ""Lift"", ""Drive"", ""Lift"", ""Drop"", ""Clear"", ""Lift"", ""Smash"", ""Smash"", ""Smash"", ""Smash"", ""Lift"", ""Drive"", ""Drive"", ""Lift"", ""Drop"", ""Smash"", ""Lift"", ""Drive"", ""Smash"", ""Lift"", ""Clear"", ""Smash"", ""Lift"", ""Clear"", ""Smash"", ""Lift"", ""Smash"", ""Fall""]","[8, 3, 8, 5, 8, 17, 5, 5, 5, 8, 5, 8, 6, 3, 8, 17, 17, 17, 17, 8, 5, 5, 8, 6, 17, 8, 5, 17, 8, 3, 17, 8, 3, 17, 8, 17, 7]",37,validation
29_2,"Lift, Drive, Drive, Drop, Clear, Drive, Drop, Smash, Drive, Net",0.0,"[""Lift"", ""Drive"", ""Drive"", ""Drop"", ""Clear"", ""Drive"", ""Drop"", ""Smash"", ""Drive"", ""Net""]","[8, 5, 5, 6, 3, 5, 6, 17, 5, 11]",10,train
29_3,"Smash, Lift, Clear, Fall",0.0,"[""Smash"", ""Lift"", ""Clear"", ""Fall""]","[17, 8, 3, 7]",4,train
29_4,"Serve, Drop, Lift, Smash, Lift, Clear, Clear, Drive, Clear, Drive, Net",0.0,"[""Serve"", ""Drop"", ""Lift"", ""Smash"", ""Lift"", ""Clear"", ""Clear"", ""Drive"", ""Clear"", ""Drive"", ""Net""]","[15, 6, 8, 17, 8, 3, 3, 5, 3, 5, 11]",11,test
85_1,"Serve, Lift, Lift, Clear, Serve, Drive, Net Kill, Clear, Lift, Fall",1.0,"[""Serve"", ""Lift"", ""Lift"", ""Clear"", ""Serve"", ""Drive"", ""Net Kill"", ""Clear"", ""Lift"", ""Fall""]","[15, 8, 8, 3, 15, 5, 12, 3, 8, 7]",10,test
85_2,"Net Shot, Smash, Net Shot, Lift, Net Shot, Drop, Lift, Lift, Net",1.0,"[""Net Shot"", ""Smash"", ""Net Shot"", ""Lift"", ""Net Shot"", ""Drop"", ""Lift"", ""Lift"", ""Net""]","[13, 17, 13, 8, 13, 6, 8, 8, 11]",9,test
85_3,Out,1.0,"[""Out""]",[14],1,train
85_4,"Lift, Serve, Lift, Fall",1.0,"[""Lift"", ""Serve"", ""Lift"", ""Fall""]","[8, 15, 8, 7]",4,train
85_5,"Lift, Net Shot, Smash, Lift, Long Defence, Long Defence, Net Shot, Clear, Long Defence, Net",1.0,"[""Lift"", ""Net Shot"", ""Smash"", ""Lift"", ""Long Defence"", ""Long Defence"", ""Net Shot"", ""Clear"", ""Long Defence"", ""Net""]","[8, 13, 17, 8, 9, 9, 13, 3, 9, 11]",10,test
85_6,"Net Shot, Clear, Short Defence, Clear, Net Shot, Smash, Net Shot, Clear, Serve, Lift, Drive, Net Shot, Smash, Net Kill, Lift, Drive, Drive, Lift, Net Kill, Lift, Long Defence, Serve, Lift, Drive, Smash, Drive, Net",1.0,"[""Net Shot"", ""Clear"", ""Short Defence"", ""Clear"", ""Net Shot"", ""Smash"", ""Net Shot"", ""Clear"", ""Serve"", ""Lift"", ""Drive"", ""Net Shot"", ""Smash"", ""Net Kill"", ""Lift"", ""Drive"", ""Drive"", ""Lift"", ""Net Kill"", ""Lift"", ""Long Defence"", ""Serve"", ""Lift"", ""Drive"", ""Smash"", ""Drive"", ""Net""]","[13, 3, 16, 3, 13, 17, 13, 3, 15, 8, 5, 13, 17, 12, 8, 5, 5, 8, 12, 8, 9, 15, 8, 5, 17, 5, 11]",27,train
111_1,"Serve, Smash, Drop, Drive, Clear, Clear, Drive, Lift, Drop, Drive, Drive, Lift, Drop, Net",0.0,"[""Serve"", ""Smash"", ""Drop"", ""Drive"", ""Clear"", ""Clear"", ""Drive"", ""Lift"", ""Drop"", ""Drive"", ""Drive"", ""Lift"", ""Drop"", ""Net""]","[15, 17, 6, 5, 3, 3, 5, 8, 6, 5, 5, 8, 6, 11]",14,test
111_2,"Serve, Drive, Lift, Drop, Drop, Drive, Drive, Clear, Serve, Net",0.0,"[""Serve"", ""Drive"", ""Lift"", ""Drop"", ""Drop"", ""Drive"", ""Drive"", ""Clear"", ""Serve"", ""Net""]","[15, 5, 8, 6, 6, 5, 5, 3, 15, 11]",10,train
111_3,"Serve, Clear, Drop, Clear, Serve, Smash, Clear, Lift, Drop, Drop, Lift, Lift, Miss",1.0,"[""Serve"", ""Clear"", ""Drop"", ""Clear"", ""Serve"", ""Smash"", ""Clear"", ""Lift"", ""Drop"", ""Drop"", ""Lift"", ""Lift"", ""Miss""]","[15, 3, 6, 3, 15, 17, 3, 8, 6, 6, 8, 8, 10]",13,validation
111_5,"Lift, Clear, Drive, Fall",0.0,"[""Lift"", ""Clear"", ""Drive"", ""Fall""]","[8, 3, 5, 7]",4,validation
111_6,"Drop, Drop, Net",0.0,"[""Drop"", ""Drop"", ""Net""]","[6, 6, 11]",3,train
111_7,"Serve, Clear, Drop, Lift, Clear, Lift, Lift, Smash, Lift, Drive, Lift, Fall",0.0,"[""Serve"", ""Clear"", ""Drop"", ""Lift"", ""Clear"", ""Lift"", ""Lift"", ""Smash"", ""Lift"", ""Drive"", ""Lift"", ""Fall""]","[15, 3, 6, 8, 3, 8, 8, 17, 8, 5, 8, 7]",12,train
111_8,"Clear, Smash, Clear, Smash, Serve, Lift, Drop, Drop, Drop, Clear, Drop, Serve, Drop, Lift, Smash, Serve, Clear, Drop, Net",0.0,"[""Clear"", ""Smash"", ""Clear"", ""Smash"", ""Serve"", ""Lift"", ""Drop"", ""Drop"", ""Drop"", ""Clear"", ""Drop"", ""Serve"", ""Drop"", ""Lift"", ""Smash"", ""Serve"", ""Clear"", ""Drop"", ""Net""]","[3, 17, 3, 17, 15, 8, 6, 6, 6, 3, 6, 15, 6, 8, 17, 15, 3, 6, 11]",19,train
111_9,"Drive, Drop, Lift, Smash, Out",0.0,"[""Drive"", ""Drop"", ""Lift"", ""Smash"", ""Out""]","[5, 6, 8, 17, 14]",5,train
111_10,"Drop, Drop, Drop, Serve, Lift, Drop, Clear, Drop, Lift, Lift, Drop, Clear, Fall",0.0,"[""Drop"", ""Drop"", ""Drop"", ""Serve"", ""Lift"", ""Drop"", ""Clear"", ""Drop"", ""Lift"", ""Lift"", ""Drop"", ""Clear"", ""Fall""]","[6, 6, 6, 15, 8, 6, 3, 6, 8, 8, 6, 3, 7]",13,test
