RallyId,Player1Won,dataset_split,position,shot,prefix_sequence,win_probability_after_shot,delta_vs_previous_shot,cumulative_delta_vs_first_shot
5_5,0,train,8,Drop,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop,0.4984,0.0002,0.0006
5_5,0,train,9,Clear,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear,0.499,0.0006,0.0011
5_5,0,train,10,Drive,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive,0.4994,0.0004,0.0015
5_5,0,train,11,Drop,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop,0.4996,0.0003,0.0018
5_5,0,train,12,Lift,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop -> Lift,0.4999,0.0003,0.0021
5_5,0,train,13,Drive,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop -> Lift -> Drive,0.5001,0.0002,0.0023
5_5,0,train,14,Fall,Drop -> Drive -> Lift -> Lift -> Drive -> Smash -> Lift -> Drop -> Clear -> Drive -> Drop -> Lift -> Drive -> Fall,0.5007,0.0006,0.0029
5_6,0,train,1,Serve,Serve,0.4931,0.0,0.0
5_6,0,train,2,Lift,Serve -> Lift,0.4941,0.001,0.001
5_6,0,train,3,Clear,Serve -> Lift -> Clear,0.4958,0.0016,0.0027
5_6,0,train,4,Lift,Serve -> Lift -> Clear -> Lift,0.4964,0.0006,0.0033
5_6,0,train,5,Fall,Serve -> Lift -> Clear -> Lift -> Fall,0.498,0.0016,0.0049
5_7,0,test,1,Serve,Serve,0.4931,0.0,0.0
5_7,0,test,2,Drive,Serve -> Drive,0.494,0.0009,0.0009
5_7,0,test,3,Lift,Serve -> Drive -> Lift,0.4945,0.0005,0.0014
5_7,0,test,4,Miss,Serve -> Drive -> Lift -> Miss,0.4951,0.0005,0.002
5_8,0,test,1,Lift,Lift,0.4989,0.0,0.0
5_8,0,test,2,Drive,Lift -> Drive,0.4984,-0.0005,-0.0005
5_8,0,test,3,Drop,Lift -> Drive -> Drop,0.4977,-0.0007,-0.0011
5_8,0,test,4,Drive,Lift -> Drive -> Drop -> Drive,0.4975,-0.0002,-0.0014
5_8,0,test,5,Miss,Lift -> Drive -> Drop -> Drive -> Miss,0.4976,0.0001,-0.0012
5_9,1,train,1,Smash,Smash,0.5043,0.0,0.0
5_9,1,train,2,Drop,Smash -> Drop,0.4997,-0.0045,-0.0045
5_9,1,train,3,Drive,Smash -> Drop -> Drive,0.4988,-0.001,-0.0055
5_9,1,train,4,Lift,Smash -> Drop -> Drive -> Lift,0.4985,-0.0003,-0.0058
5_9,1,train,5,Drop,Smash -> Drop -> Drive -> Lift -> Drop,0.4983,-0.0002,-0.006
5_9,1,train,6,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive,0.4983,-0.0,-0.006
5_9,1,train,7,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop,0.4984,0.0001,-0.0059
5_9,1,train,8,Clear,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear,0.4989,0.0005,-0.0054
5_9,1,train,9,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop,0.4993,0.0004,-0.005
5_9,1,train,10,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop,0.4996,0.0003,-0.0047
5_9,1,train,11,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift,0.4999,0.0003,-0.0043
5_9,1,train,12,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive,0.5002,0.0003,-0.0041
5_9,1,train,13,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive,0.5005,0.0003,-0.0038
5_9,1,train,14,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive,0.5007,0.0002,-0.0036
5_9,1,train,15,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift,0.5009,0.0002,-0.0034
5_9,1,train,16,Smash,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash,0.5012,0.0003,-0.0031
5_9,1,train,17,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift,0.5014,0.0002,-0.0029
5_9,1,train,18,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop,0.5015,0.0002,-0.0028
5_9,1,train,19,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift,0.5017,0.0001,-0.0026
5_9,1,train,20,Smash,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash,0.5019,0.0002,-0.0024
5_9,1,train,21,Smash,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash,0.5021,0.0002,-0.0022
5_9,1,train,22,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop,0.5022,0.0002,-0.002
5_9,1,train,23,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift,0.5024,0.0001,-0.0019
5_9,1,train,24,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive,0.5025,0.0001,-0.0018
5_9,1,train,25,Smash,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash,0.5026,0.0002,-0.0016
5_9,1,train,26,Serve,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve,0.5026,-0.0,-0.0017
5_9,1,train,27,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift,0.5026,0.0,-0.0017
5_9,1,train,28,Drop,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop,0.5026,0.0,-0.0016
5_9,1,train,29,Smash,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash,0.5027,0.0001,-0.0015
5_9,1,train,30,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash -> Drive,0.5028,0.0001,-0.0015
5_9,1,train,31,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash -> Drive -> Lift,0.5029,0.0001,-0.0014
5_9,1,train,32,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash -> Drive -> Lift -> Drive,0.5029,0.0001,-0.0014
5_9,1,train,33,Drive,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash -> Drive -> Lift -> Drive -> Drive,0.503,0.0,-0.0013
5_9,1,train,34,Lift,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash -> Drive -> Lift -> Drive -> Drive -> Lift,0.503,0.0,-0.0013
5_9,1,train,35,Smash,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash -> Drive -> Lift -> Drive -> Drive -> Lift -> Smash,0.5031,0.0001,-0.0012
5_9,1,train,36,Miss,Smash -> Drop -> Drive -> Lift -> Drop -> Drive -> Drop -> Clear -> Drop -> Drop -> Lift -> Drive -> Drive -> Drive -> Lift -> Smash -> Lift -> Drop -> Lift -> Smash -> Smash -> Drop -> Lift -> Drive -> Smash -> Serve -> Lift -> Drop -> Smash -> Drive -> Lift -> Drive -> Drive -> Lift -> Smash -> Miss,0.5031,0.0001,-0.0011
6_1,1,train,1,Serve,Serve,0.4931,0.0,0.0
6_1,1,train,2,Lift,Serve -> Lift,0.4941,0.001,0.001
6_1,1,train,3,Drop,Serve -> Lift -> Drop,0.4943,0.0002,0.0012
6_1,1,train,4,Drive,Serve -> Lift -> Drop -> Drive,0.4948,0.0004,0.0017
6_1,1,train,5,Lift,Serve -> Lift -> Drop -> Drive -> Lift,0.4953,0.0005,0.0022
6_1,1,train,6,Drive,Serve -> Lift -> Drop -> Drive -> Lift -> Drive,0.4957,0.0005,0.0026
6_1,1,train,7,Smash,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash,0.4964,0.0007,0.0033
6_1,1,train,8,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop,0.4969,0.0005,0.0038
6_1,1,train,9,Clear,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear,0.4977,0.0008,0.0046
6_1,1,train,10,Smash,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash,0.4984,0.0007,0.0053
6_1,1,train,11,Serve,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve,0.4985,0.0001,0.0054
6_1,1,train,12,Clear,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear,0.499,0.0005,0.0059
6_1,1,train,13,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop,0.4994,0.0004,0.0063
6_1,1,train,14,Lift,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift,0.4997,0.0003,0.0066
6_1,1,train,15,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop,0.5,0.0003,0.0069
6_1,1,train,16,Drive,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive,0.5002,0.0003,0.0071
6_1,1,train,17,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop,0.5005,0.0002,0.0074
6_1,1,train,18,Lift,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift,0.5007,0.0002,0.0076
6_1,1,train,19,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop,0.5009,0.0002,0.0078
6_1,1,train,20,Drive,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive,0.5011,0.0002,0.008
6_1,1,train,21,Drive,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive,0.5013,0.0002,0.0082
6_1,1,train,22,Lift,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift,0.5014,0.0002,0.0083
6_1,1,train,23,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop,0.5016,0.0001,0.0085
6_1,1,train,24,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop,0.5017,0.0001,0.0086
6_1,1,train,25,Lift,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift,0.5019,0.0001,0.0088
6_1,1,train,26,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop,0.502,0.0001,0.0089
6_1,1,train,27,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop,0.5021,0.0001,0.009
6_1,1,train,28,Lift,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift,0.5022,0.0001,0.0091
6_1,1,train,29,Drive,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive,0.5024,0.0001,0.0093
6_1,1,train,30,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop,0.5025,0.0001,0.0094
6_1,1,train,31,Clear,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear,0.5027,0.0002,0.0095
6_1,1,train,32,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop,0.5028,0.0001,0.0097
6_1,1,train,33,Cross Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop,0.503,0.0002,0.0099
6_1,1,train,34,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop,0.5031,0.0001,0.01
6_1,1,train,35,Smash,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash,0.5033,0.0002,0.0102
6_1,1,train,36,Drive,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive,0.5034,0.0001,0.0103
6_1,1,train,37,Drive,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive -> Drive,0.5035,0.0001,0.0104
6_1,1,train,38,Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive -> Drive -> Drop,0.5036,0.0001,0.0105
6_1,1,train,39,Smash,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive -> Drive -> Drop -> Smash,0.5037,0.0001,0.0106
6_1,1,train,40,Lift,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive -> Drive -> Drop -> Smash -> Lift,0.5037,0.0001,0.0106
6_1,1,train,41,Clear,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive -> Drive -> Drop -> Smash -> Lift -> Clear,0.5038,0.0001,0.0107
6_1,1,train,42,Cross Drop,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive -> Drive -> Drop -> Smash -> Lift -> Clear -> Cross Drop,0.504,0.0002,0.0109
6_1,1,train,43,Smash,Serve -> Lift -> Drop -> Drive -> Lift -> Drive -> Smash -> Drop -> Clear -> Smash -> Serve -> Clear -> Drop -> Lift -> Drop -> Drive -> Drop -> Lift -> Drop -> Drive -> Drive -> Lift -> Drop -> Drop -> Lift -> Drop -> Drop -> Lift -> Drive -> Drop -> Clear -> Drop -> Cross Drop -> Drop -> Smash -> Drive -> Drive -> Drop -> Smash -> Lift -> Clear -> Cross Drop -> Smash,0.5041,0.0001,0.011
